race_id,candidates,inc,inc_party,inc_R,state,abbrev,winner,year
AZ_sen_1988,"['√ Dennis DeConcini (Democratic) 56.7', 'Keith DeGreen (Republican) 41.1', 'Rich Tompkins (Libertarian) 1.8', '\n']","Dennis DeConcini
",D,0,Arizona,AZ,√ Dennis DeConcini (Democratic) 56.7,1988
AZ_sen_1994,"['√ Jon Kyl (Republican) 53.7', 'Sam Coppersmith (Democratic) 39.5', 'Scott Grainger (Libertarian) 6.8', '\n']","Dennis DeConcini
",D,0,Arizona,AZ,√ Jon Kyl (Republican) 53.7,1994
AR_sen_1978,"['√ David Pryor (Democratic) 76.5', 'Tom Kelly (Republican) 16.3', 'John J. Black (Independent) 7.2', '\n']","Kaneaster Hodges, Jr.
",D,0,Arkansas,AR,√ David Pryor (Democratic) 76.5,1978
AR_sen_1980,"['√ Dale Bumpers (Democratic) 59.1', 'William Clark (Republican) 40.9', '\n']","Dale Bumpers
",D,0,Arkansas,AR,√ Dale Bumpers (Democratic) 59.1,1980
AR_sen_1984,"['√ David Pryor (Democratic) 57.3', 'Ed Bethune (Republican) 42.7', '\n']","David Pryor
",D,0,Arkansas,AR,√ David Pryor (Democratic) 57.3,1984
AR_sen_1986,"['√ Dale Bumpers (Democratic) 62.9', 'Asa Hutchinson (Republican) 37.1', '\n']","Dale Bumpers
",D,0,Arkansas,AR,√ Dale Bumpers (Democratic) 62.9,1986
AR_sen_1984,"['√ David Pryor (Democratic) 57.3', 'Ed Bethune (Republican) 42.7', '\n']","David Pryor
",D,0,Arkansas,AR,√ David Pryor (Democratic) 57.3,1984
AR_sen_1986,"['√ Dale Bumpers (Democratic) 62.9', 'Asa Hutchinson (Republican) 37.1', '\n']","Dale Bumpers
",D,0,Arkansas,AR,√ Dale Bumpers (Democratic) 62.9,1986
AR_sen_1986,"['√ Dale Bumpers (Democratic) 62.9', 'Asa Hutchinson (Republican) 37.1', '\n']","Dale Bumpers
",D,0,Arkansas,AR,√ Dale Bumpers (Democratic) 62.9,1986
AR_sen_1990,['√ David Pryor (Democratic)Unopposed\n'],"David Pryor
",D,0,Arkansas,AR,"√ David Pryor (Democratic)Unopposed
",1990
AR_sen_1992,"['√ Dale Bumpers (Democratic) 60.2', 'Mike Huckabee (Republican) 39.8', '\n']","Dale Bumpers
",D,0,Arkansas,AR,√ Dale Bumpers (Democratic) 60.2,1992
AR_sen_1996,"['√ Tim Hutchinson (Republican) 52.7', 'Winston Bryant (Democratic) 47.3', '\n']","David Pryor
",D,0,Arkansas,AR,√ Tim Hutchinson (Republican) 52.7,1996
AR_sen_1998,"['√ Blanche Lincoln (Democratic) 55.1', ' Fay Boozman (Republican) 42.2', ' Charley E. Heffley (Reform) 2.7', '\n']","Dale Bumpers
",D,0,Arkansas,AR,√ Blanche Lincoln (Democratic) 55.1,1998
AR_sen_2004,"['√ Blanche Lincoln (Democratic) 56', 'Jim Holt (Republican) 44', '\n']","Blanche Lincoln
",D,0,Arkansas,AR,√ Blanche Lincoln (Democratic) 56,2004
AR_sen_2002,"['√ Mark Pryor (Democratic) 79.5', 'Rebekah Kennedy (Green)  20.5', '\n']","Mark Pryor
",D,0,Arkansas,AR,√ Mark Pryor (Democratic) 79.5,2002
AR_sen_2010,"['√ John Boozman (Republican) 58.0', 'Blanche Lincoln (Democratic) 36.9', 'Trevor Drown (Independent) 3.3', 'John Gray (Green) 1.9', '\n']","Blanche Lincoln
",D,0,Arkansas,AR,√ John Boozman (Republican) 58.0,2010
AR_sen_2014,"['√ Tom Cotton (Republican) 56.5', '[31]Mark Pryor (Democratic) 39.4', '[32]Nathan LaFrance (Libertarian) 2.0', '[33][34]Mark Swaney (Green) 2.0', '[35]\n']","Mark Pryor
",D,0,Arkansas,AR,√ Tom Cotton (Republican) 56.5,2014
CA_sen_1976,"['√ S. I. Hayakawa (Republican) 50.2', 'John V. Tunney (Democratic) 46.9', '\n']","John V. Tunney
",D,0,California,CA,√ S. I. Hayakawa (Republican) 50.2,1976
CA_sen_1980,"['√ Alan Cranston (Democratic) 56.5', 'Paul Gann (Republican) 37.1', 'David Bergland (Libertarian) 2.4', 'David Wald (Peace & Freedom) 2.4', 'Jim Griffin (American Ind.) 1.6', '\n']","Alan Cranston
",D,0,California,CA,√ Alan Cranston (Democratic) 56.5,1980
CA_sen_1986,"['√ Alan Cranston (Democratic) 49.3', 'Ed Zschau (Republican) 47.8', 'Breck McKinley (Libertarian) 1.5', 'Edward B. Vallen (American Ind.) 0.9', 'Andrew R. Kangas (Peace & Freedom) 0.5', '\n']","Alan Cranston
",D,0,California,CA,√ Alan Cranston (Democratic) 49.3,1986
CA_sen_1986,"['√ Alan Cranston (Democratic) 49.3', 'Ed Zschau (Republican) 47.8', 'Breck McKinley (Libertarian) 1.5', 'Edward B. Vallen (American Ind.) 0.9', 'Andrew R. Kangas (Peace & Freedom) 0.5', '\n']","Alan Cranston
",D,0,California,CA,√ Alan Cranston (Democratic) 49.3,1986
CA_sen_1986,"['√ Alan Cranston (Democratic) 49.3', 'Ed Zschau (Republican) 47.8', 'Breck McKinley (Libertarian) 1.5', 'Edward B. Vallen (American Ind.) 0.9', 'Andrew R. Kangas (Peace & Freedom) 0.5', '\n']","Alan Cranston
",D,0,California,CA,√ Alan Cranston (Democratic) 49.3,1986
CA_sen_1992,"['√ Barbara Boxer (Democratic) 47.9', 'Bruce Herschensohn (Republican) 43.0', 'Jerome McCready (American Ind.) 3.5', 'Genevieve Torres (Peace & Freedom) 3.5', 'June R. Genis (Libertarian) 2.2', '\n']","Alan Cranston
",D,0,California,CA,√ Barbara Boxer (Democratic) 47.9,1992
CA_sen_1994,"['√ Dianne Feinstein (Democratic) 46.7', 'Michael Huffington (Republican) 44.8', 'Elizabeth Barron (Peace and Freedom) 3', 'Richard Boddie (Libertarian) 2.1', 'Paul Meeuwenberg (AIP) 1.7', 'Barbara Blong (Green) 1.7', '\n']","Dianne Feinstein
",D,0,California,CA,√ Dianne Feinstein (Democratic) 46.7,1994
CA_sen_1998,"['√ Barbara Boxer (Democratic) 53', 'Matt Fong (Republican) 43', 'Ted Brown (Libertarian) 1.1', 'Timothy R. Erich (Reform) 1', 'H. Joseph Perrin, Sr. (American Independent) 0.7', 'Ophie C. Beltran (Peace & Freedom) 0.6', ' Brian M. Rees (Natural Law) 0.6', '\n']","Barbara Boxer
",D,0,California,CA,√ Barbara Boxer (Democratic) 53,1998
CA_sen_2000,"['√ Dianne Feinstein (Democratic) 55.8', 'Tom Campbell (Republican) 36.6', 'Medea Benjamin (Green) 3.1', 'Gail Lightfoot (Libertarian) 1.8', 'Diane Beall Templin (American Independent) 1.3', 'Jose Camahort (Reform) 0.9', 'Brian M. Rees (Natural Law) 0.6', '\n']","Dianne Feinstein
",D,0,California,CA,√ Dianne Feinstein (Democratic) 55.8,2000
CA_sen_2004,"['√ Barbara Boxer (Democratic) 57.7', 'Bill Jones (Republican) 37.8', 'Marsha Feinland (Peace and Freedom) 2', 'James P. Gray (Libertarian) 1.8', 'Don J. Grundmann (Constitution) 0.7', '\n']","Barbara Boxer
",D,0,California,CA,√ Barbara Boxer (Democratic) 57.7,2004
CA_sen_2006,"['√ Dianne Feinstein (Democratic) 59.4', 'Dick Mountjoy (Republican) 35.2', 'Don Grundmann (American Independent) 1.8', 'Todd Chretien (Green) 1.7', 'Michael Metti (Libertarian) 1.6', 'Marsha Feinland (Peace and Freedom) 1.3', '\n']","Dianne Feinstein
",D,0,California,CA,√ Dianne Feinstein (Democratic) 59.4,2006
CA_sen_2010,"['√ Barbara Boxer (Democratic) 52.1', 'Carly Fiorina (Republican) 42.5', 'Gail Lightfoot (Libertarian) 1.8', 'Marsha Feinland (P&F) 1.3', 'Edward Noonan (AIP) 1.3', 'Duane Roberts (G) 1.2', '\n']","Barbara Boxer
",D,0,California,CA,√ Barbara Boxer (Democratic) 52.1,2010
CA_sen_2012,"['√ Dianne Feinstein (Democratic) 62.5', 'Elizabeth Emken (Republican) 37.5', '[8]\n']","Dianne Feinstein
",D,0,California,CA,√ Dianne Feinstein (Democratic) 62.5,2012
CA_sen_2016,"['√ Kamala Harris (Democratic)[31] 61.8', 'Loretta Sanchez (Democratic)[32] 38.2', '\n']","Barbara Boxer
",D,0,California,CA,√ Kamala Harris (Democratic)[31] 61.8,2016
CO_sen_1978,"['√ William L. Armstrong (Republican) 58.7', 'Floyd K. Haskell (Democratic) 40.3', 'Vedder V. Dorn (United States Party) 0.7', 'John Shue (National Statesman) 0.3', '\n']","Floyd K. Haskell
",D,0,Colorado,CO,√ William L. Armstrong (Republican) 58.7,1978
CO_sen_1980,"['√ Gary Hart (Democratic) 50.3', 'Mary E. Buchanan (Republican) 48.7', 'Earl Higgerson (Statesman) 0.6', 'Henry John Olshaw (Unaffiliated-American) 0.4', '\n']","Gary Hart
",D,0,Colorado,CO,√ Gary Hart (Democratic) 50.3,1980
CO_sen_1986,"['√ Tim Wirth (Democratic) 49.9', 'Ken Kramer (Republican) 48.4', 'Michael Bush (Independent) 1.0', 'Michael Chamberlain (Socialist Workers) 0.4', 'Henry Olshaw (Unaffiliated American) 0.2', 'Calvin Dodge (Prohibition) 0.1', '\n']","Gary Hart
",D,0,Colorado,CO,√ Tim Wirth (Democratic) 49.9,1986
CO_sen_1986,"['√ Tim Wirth (Democratic) 49.9', 'Ken Kramer (Republican) 48.4', 'Michael Bush (Independent) 1.0', 'Michael Chamberlain (Socialist Workers) 0.4', 'Henry Olshaw (Unaffiliated American) 0.2', 'Calvin Dodge (Prohibition) 0.1', '\n']","Gary Hart
",D,0,Colorado,CO,√ Tim Wirth (Democratic) 49.9,1986
CO_sen_1986,"['√ Tim Wirth (Democratic) 49.9', 'Ken Kramer (Republican) 48.4', 'Michael Bush (Independent) 1.0', 'Michael Chamberlain (Socialist Workers) 0.4', 'Henry Olshaw (Unaffiliated American) 0.2', 'Calvin Dodge (Prohibition) 0.1', '\n']","Gary Hart
",D,0,Colorado,CO,√ Tim Wirth (Democratic) 49.9,1986
CO_sen_1992,"['√ Ben Nighthorse Campbell (Democratic) 51.8', 'Terry Considine (Republican) 42.7', 'Richard Grimes (Independent) 2.7', 'Matt Noah (Christian Pro-Life) 1.5', 'Dan Winters (Independent) 1.3', '\n']","Tim Wirth
",D,0,Colorado,CO,√ Ben Nighthorse Campbell (Democratic) 51.8,1992
CO_sen_2010,"['√ Michael Bennet (Democratic) 48.1', 'Ken Buck (Republican) 46.3', 'Bob Kinsey (Green) 2.2', 'Maclyn Stringer (Libertarian) 1.3', '\n']","Michael Bennet
",D,0,Colorado,CO,√ Michael Bennet (Democratic) 48.1,2010
CO_sen_2014,"['√ Cory Gardner (Republican) 48.2', '[36][37][38]Mark Udall (Democratic) 46.3', '[39]Gaylon Kent (Libertarian) 2.6', '[40]Stephen H. Shogan (Independent) 1.4', '[41]Raúl Acosta (Independent) 1.2', ' Bill Hammons (Unity) 0.3', '[42]\n']","Mark Udall
",D,0,Colorado,CO,√ Cory Gardner (Republican) 48.2,2014
CO_sen_2016,"['√ Michael Bennet (Democratic)[33] 50.0', 'Darryl Glenn (Republican)[34] 44.3', 'Lily Tang Williams (Libertarian)[35] 3.6Arn Menconi (Green)[36] 1.3\n']","Michael Bennet
",D,0,Colorado,CO,√ Michael Bennet (Democratic)[33] 50.0,2016
CT_sen_1980,"['√ Chris Dodd (Democratic) 56.3', 'James L. Buckley (Republican) 42.9', 'Jerry Brennan (Libertarian) 0.4', 'Andrew J. Zemel (Concerned Citizens) 0.4', '\n']","Abraham A. Ribicoff
",D,0,Connecticut,CT,√ Chris Dodd (Democratic) 56.3,1980
CT_sen_1986,"['√ Chris Dodd (Democratic) 64.8', 'Roger W. Eddy (Republican) 34.8', 'Edward McCallum (Independent) 0.4', '\n']","Chris Dodd
",D,0,Connecticut,CT,√ Chris Dodd (Democratic) 64.8,1986
CT_sen_1986,"['√ Chris Dodd (Democratic) 64.8', 'Roger W. Eddy (Republican) 34.8', 'Edward McCallum (Independent) 0.4', '\n']","Chris Dodd
",D,0,Connecticut,CT,√ Chris Dodd (Democratic) 64.8,1986
CT_sen_1986,"['√ Chris Dodd (Democratic) 64.8', 'Roger W. Eddy (Republican) 34.8', 'Edward McCallum (Independent) 0.4', '\n']","Chris Dodd
",D,0,Connecticut,CT,√ Chris Dodd (Democratic) 64.8,1986
CT_sen_1992,"['√ Christopher Dodd (Democratic) 58.8', 'Brook Johnson (Republican) 38.1', 'Richard D. Gregory (Concerned Citizens) 2.4', 'Howard A. Grayson, Jr. (Libertarian) 0.7', '\n']","Chris Dodd
",D,0,Connecticut,CT,√ Christopher Dodd (Democratic) 58.8,1992
CT_sen_1994,"['√ Joe Lieberman (Democratic) 67', 'Jerry Labriola (Republican) 31', 'Gary R. Garneau (Constitution) 1.9', '\n']","Joe Lieberman
",D,0,Connecticut,CT,√ Joe Lieberman (Democratic) 67,1994
CT_sen_1998,"['√ Chris Dodd (Democratic) 65.1', 'Gary Franks (Republican) 32.4', 'William Kozak (Concerned Citizens) 1.3', 'Lois A. Grasso (Term Limits) 0.7', 'Wildey Moore (Libertarian) 0.5', '\n']","Chris Dodd
",D,0,Connecticut,CT,√ Chris Dodd (Democratic) 65.1,1998
CT_sen_2000,"['√ Joe Lieberman (Democratic) 63.2', 'Philip Giordano (Republican) 34.1', 'William Kozak (Concerned Citizens) 2', 'Wildey J. Moore (Libertarian) 0.7', '\n']","Joe Lieberman
",D,0,Connecticut,CT,√ Joe Lieberman (Democratic) 63.2,2000
CT_sen_2004,"['√ Chris Dodd (Democratic) 66.4', 'Jack Orchulli (Republican) 32.1', 'Timothy Knibbs (C) 0.9', 'Lenny Rasch (L) 0.6', '\n']","Chris Dodd
",D,0,Connecticut,CT,√ Chris Dodd (Democratic) 66.4,2004
CT_sen_2006,"['√ Joe Lieberman (Connecticut for Lieberman) 49.7', 'Ned Lamont (Democratic) 39.7', 'Alan Schlesinger (Republican) 9.6', ' Ralph Ferrucci (Green) 0.5', 'Timothy Knibbs (Concerned Citizens) 0.4', '\n']","Joe Lieberman
",D,0,Connecticut,CT,√ Joe Lieberman (Connecticut for Lieberman) 49.7,2006
CT_sen_2010,"['√ Richard Blumenthal (Democratic) 55.1', 'Linda McMahon (Republican) 43.3', 'Warren Mosler (Independent) 1.0', 'John Mertens (CfL) 0.6', '\n']","Chris Dodd
",D,0,Connecticut,CT,√ Richard Blumenthal (Democratic) 55.1,2010
CT_sen_2016,"['√ Richard Blumenthal (Democratic)[37] 63.2', 'Dan Carter (Republican)[38] 34.6', 'Richard Lion (Libertarian)[39] 1.1Jeff Russell (Green)[40] 1.0\n']","Richard Blumenthal
",D,0,Connecticut,CT,√ Richard Blumenthal (Democratic)[37] 63.2,2016
DE_sen_1978,"['√ Joe Biden (Democratic) 58.0', 'James H. Baxter (Republican) 41.0', 'Donald G. Gies (American) 1.0', '\n']","Joe Biden
",D,0,Delaware,DE,√ Joe Biden (Democratic) 58.0,1978
DE_sen_1984,"['√ Joe Biden (Democratic) 60.1', 'John M. Burris (Republican) 39.1', '\n']","Joe Biden
",D,0,Delaware,DE,√ Joe Biden (Democratic) 60.1,1984
DE_sen_1984,"['√ Joe Biden (Democratic) 60.1', 'John M. Burris (Republican) 39.1', '\n']","Joe Biden
",D,0,Delaware,DE,√ Joe Biden (Democratic) 60.1,1984
DE_sen_1990,"['√ Joe Biden (Democratic) 62.7', 'M. Jane Brady (Republican) 35.8', 'Lee Rosenbaum (Libertarian) 1.5', '\n']","Joe Biden
",D,0,Delaware,DE,√ Joe Biden (Democratic) 62.7,1990
DE_sen_1996,"['√ Joe Biden (Democratic) 60', 'Raymond J. Clatworthy (Republican) 38.1', 'Mark Jones (Libertarian) 1.2', 'Jacqueline Kossoff (Natural Law) 0.6', '\n']","Joe Biden
",D,0,Delaware,DE,√ Joe Biden (Democratic) 60,1996
DE_sen_2002,"['√ Joe Biden (Democratic) 58.2', 'Raymond J. Clatworthy (Republican) 40.8', 'Maurice Barros (IPD) 0.4', 'Raymond T. Buranello (Libertarian) 0.4', 'Robert E. Mattson (Natural Law) 0.2', '\n']","Joe Biden
",D,0,Delaware,DE,√ Joe Biden (Democratic) 58.2,2002
DE_sen_2002,"['√ Joe Biden (Democratic) 58.2', 'Raymond J. Clatworthy (Republican) 40.8', 'Maurice Barros (IPD) 0.4', 'Raymond T. Buranello (Libertarian) 0.4', 'Robert E. Mattson (Natural Law) 0.2', '\n']","Joe Biden
",D,0,Delaware,DE,√ Joe Biden (Democratic) 58.2,2002
DE_sen_2006,"['√ Tom Carper (Democratic) 67.1', 'Jan Ting (Republican) 27.4', ""Christine O'Donnell (Write-in) 4.4"", 'William E. Morris (Libertarian) 1.1', '\n']","Tom Carper
",D,0,Delaware,DE,√ Tom Carper (Democratic) 67.1,2006
DE_sen_2002,"['√ Joe Biden (Democratic) 64.7', ""Christine O'Donnell (Republican) 35.3"", '\n']","Joe Biden
",D,0,Delaware,DE,√ Joe Biden (Democratic) 64.7,2002
DE_sen_2012,"['√ Tom Carper (Democratic) 66.4', 'Kevin Wade (Republican) 29.0', '[13]Alex Pires (Independent) 3.8', '[14]Andrew Groff (Green) 0.8', '\n']","Tom Carper
",D,0,Delaware,DE,√ Tom Carper (Democratic) 66.4,2012
DE_sen_2014,"['√ Chris Coons (Democratic) 55.8', '[43]Kevin Wade (Republican) 42.2', '[44]Andrew Groff (Green) 1.9', '\n']","Chris Coons
",D,0,Delaware,DE,√ Chris Coons (Democratic) 55.8,2014
DE_sen_2010,"['√ Chris Coons (Democratic) 56.6', ""Christine O'Donnell (Republican) 40.0"", 'Glenn Miller (Independent) 2.7', 'James Rash (Libertarian) 0.7', '\n']","Ted Kaufman
",D,0,Delaware,DE,√ Chris Coons (Democratic) 56.6,2010
FL_sen_1976,"['√ Lawton Chiles (Democratic) 63.0', 'John Grady (Republican) 37.0', '\n']","Lawton Chiles
",D,0,Florida,FL,√ Lawton Chiles (Democratic) 63.0,1976
FL_sen_1980,"['√ Paula Hawkins (Republican) 51.7', 'Bill Gunter (Democratic) 48.3', '\n']","Richard Stone
",D,0,Florida,FL,√ Paula Hawkins (Republican) 51.7,1980
FL_sen_1982,"['√ Lawton Chiles (Democratic) 61.7', 'Van B. Poole (Republican) 38.3', '\n']","Lawton Chiles
",D,0,Florida,FL,√ Lawton Chiles (Democratic) 61.7,1982
FL_sen_1982,"['√ Lawton Chiles (Democratic) 61.7', 'Van B. Poole (Republican) 38.3', '\n']","Lawton Chiles
",D,0,Florida,FL,√ Lawton Chiles (Democratic) 61.7,1982
FL_sen_1988,"['√ Connie Mack III (Republican) 50.4', 'Buddy MacKay (Democratic) 49.6', '\n']","Lawton Chiles
",D,0,Florida,FL,√ Connie Mack III (Republican) 50.4,1988
FL_sen_1992,"['√ Bob Graham (Democratic) 65.4', 'James W. Grant (Republican) 34.6', '\n']","Bob Graham
",D,0,Florida,FL,√ Bob Graham (Democratic) 65.4,1992
FL_sen_1998,"['√ Bob Graham (Democratic) 62.5', 'Charlie Crist (Republican) 37.5', '\n']","Bob Graham
",D,0,Florida,FL,√ Bob Graham (Democratic) 62.5,1998
FL_sen_2004,"['√ Mel Martinez (Republican) 49.5', 'Betty Castor (Democratic) 48.3', 'Dennis Bradley (Veterans) 2.2', '\n']","Bob Graham
",D,0,Florida,FL,√ Mel Martinez (Republican) 49.5,2004
FL_sen_2006,"['√ Bill Nelson (Democratic) 60.3', 'Katherine Harris (Republican) 38.1', 'Belinda Noah (Independent) 0.5', 'Brian Moore (Green) 0.4', 'Floyd Ray Frazier (Independent) 0.3', 'Roy Tanner (Independent) 0.3', '\n']","Bill Nelson
",D,0,Florida,FL,√ Bill Nelson (Democratic) 60.3,2006
FL_sen_2012,"['√ Bill Nelson (Democratic) 55.2', 'Connie Mack IV (Republican) 42.2', '[15]Chris Borgia (Independent) 1.0', '[16]Bill Gaylor (Independent) 1.5', '[17][18]\n']","Bill Nelson
",D,0,Florida,FL,√ Bill Nelson (Democratic) 55.2,2012
GA_sen_1978,"['√ Sam Nunn (Democratic) 83.1', 'John W. Stokes (Republican) 16.9', '\n']","Sam Nunn
",D,0,Georgia,GA,√ Sam Nunn (Democratic) 83.1,1978
GA_sen_1980,"['√ Mack Mattingly (Republican) 50.9', 'Herman Talmadge (Democratic) 49.1', '\n']","Herman Talmadge
",D,0,Georgia,GA,√ Mack Mattingly (Republican) 50.9,1980
GA_sen_1984,"['√ Sam Nunn (Democratic) 79.9', 'Jon M. Hicks (Republican) 20.1', '\n']","Sam Nunn
",D,0,Georgia,GA,√ Sam Nunn (Democratic) 79.9,1984
GA_sen_1984,"['√ Sam Nunn (Democratic) 79.9', 'Jon M. Hicks (Republican) 20.1', '\n']","Sam Nunn
",D,0,Georgia,GA,√ Sam Nunn (Democratic) 79.9,1984
GA_sen_1990,['√ Sam Nunn (Democratic)Unopposed\n'],"Sam Nunn
",D,0,Georgia,GA,"√ Sam Nunn (Democratic)Unopposed
",1990
GA_sen_1992,"['√ Paul Coverdell (Republican) 50.6', 'Wyche Fowler (Democratic) 49.4', 'Jim Hudson (Libertarian) 3.1', '\n']","Wyche Fowler
",D,0,Georgia,GA,√ Paul Coverdell (Republican) 50.6,1992
GA_sen_1996,"['√ Max Cleland (Democratic) 48.9', 'Guy Millner (Republican) 47.5', 'John Gregory Cashin (Libertarian) 3.6', '\n']","Sam Nunn
",D,0,Georgia,GA,√ Max Cleland (Democratic) 48.9,1996
GA_sen_2002,"['√ Saxby Chambliss (Republican) 52.7', 'Max Cleland (Democratic) 45.9', 'Claude Thomas (Libertarian) 1.4', '\n']","Max Cleland
",D,0,Georgia,GA,√ Saxby Chambliss (Republican) 52.7,2002
GA_sen_2002,"['√ Saxby Chambliss (Republican) 52.7', 'Max Cleland (Democratic) 45.9', 'Claude Thomas (Libertarian) 1.4', '\n']","Max Cleland
",D,0,Georgia,GA,√ Saxby Chambliss (Republican) 52.7,2002
GA_sen_2004,"['√ Johnny Isakson (Republican) 57.9', 'Denise Majette (Democratic) 40', 'Allen Buckley (Libertarian) 2.1', '\n']","Zell Miller
",D,0,Georgia,GA,√ Johnny Isakson (Republican) 57.9,2004
GA_sen_2000,"['√ Zell Miller (Democratic) 58', 'Mack Mattingly (Republican) 38', '\n']","Zell Miller
",D,0,Georgia,GA,√ Zell Miller (Democratic) 58,2000
HI_sen_1980,"['√ Daniel Inouye (Democratic) 77.9', 'Cooper Brown (Republican) 18.4', '\n']","Daniel Inouye
",D,0,Hawaii,HI,√ Daniel Inouye (Democratic) 77.9,1980
HI_sen_1982,"['√ Spark Matsunaga (Democratic) 80.1', 'Clarence J. Brown (Republican) 17.0', 'E. Bernier-Nachtwey (Independent) 2.9', '\n']","Spark Matsunaga
",D,0,Hawaii,HI,√ Spark Matsunaga (Democratic) 80.1,1982
HI_sen_1986,"['√ Daniel Inouye (Democratic) 73.6', 'Frank Hutchinson (Republican) 26.4', '\n']","Daniel Inouye
",D,0,Hawaii,HI,√ Daniel Inouye (Democratic) 73.6,1986
HI_sen_1982,"['√ Spark Matsunaga (Democratic) 80.1', 'Clarence J. Brown (Republican) 17.0', 'E. Bernier-Nachtwey (Independent) 2.9', '\n']","Spark Matsunaga
",D,0,Hawaii,HI,√ Spark Matsunaga (Democratic) 80.1,1982
HI_sen_1986,"['√ Daniel Inouye (Democratic) 73.6', 'Frank Hutchinson (Republican) 26.4', '\n']","Daniel Inouye
",D,0,Hawaii,HI,√ Daniel Inouye (Democratic) 73.6,1986
HI_sen_1986,"['√ Daniel Inouye (Democratic) 73.6', 'Frank Hutchinson (Republican) 26.4', '\n']","Daniel Inouye
",D,0,Hawaii,HI,√ Daniel Inouye (Democratic) 73.6,1986
HI_sen_1988,"['√ Spark Matsunaga (Democratic) 76.5', 'Maria M. Hustace (Republican) 20.7', 'Ken Schoolland (Libertarian) 2.8', '\n']","Spark Matsunaga
",D,0,Hawaii,HI,√ Spark Matsunaga (Democratic) 76.5,1988
