race_id,candidates,inc,inc_party,inc_party,inc_R,inc_results,state,abbrev,rival,year
AK_gov_1978,"['Walter Joseph Hickel (write-in) 26.4', 'Chancy Croft (Democratic) 20.2', 'Tom Kelly (Independent) 12.3', 'Don R. Wright (Alaskan Ind.) 1.9', '\n']","Jay Hammond
",R,"Republican
",1,"Re-elected, 39.1%
",Alaska,AK,Walter Joseph Hickel (write-in) 26.4,1978
AK_gov_1982,"['Bill Sheffield (Democratic) 46.1', 'Tom Fink (Republican) 37.1', 'Dick Randolph (Libertarian) 14.9', 'Joe Vogler (Alaskan Ind.) 1.7', '\n']","Jay Hammond
",R,"Republican
",1,"Term-limited, Democratic victory
",Alaska,AK,Bill Sheffield (Democratic) 46.1,1982
AK_gov_1986,"['Steve Cowper (Democratic) 47.3', 'Arliss Sturgulewski (Republican) 42.6', 'Joe Vogler (Alaskan Ind.) 5.6', 'Walter Joseph Hickel (write-in) 2.8', ""Mary Jane O'Brannon (Libertarian) 0.6"", '\n']","Bill Sheffield
",D,"Democratic
",0,"Defeated in primary, Democratic victory
",Alaska,AK,Steve Cowper (Democratic) 47.3,1986
AK_gov_1990,"['Walter Joseph Hickel (Alaskan Ind.) 38.9', 'Tony Knowles (Democratic) 30.9', 'Arliss Sturgulewski (Republican) 26.2', 'Jim Sykes (Green) 3.4', ""Michael O'Callaghan (Independent) 0.5"", '\n']","Steve Cowper
",D,"Democratic
",0,"Retired, Alaskan Ind. victory
",Alaska,AK,Walter Joseph Hickel (Alaskan Ind.) 38.9,1990
AK_gov_1994,"['Tony Knowles (Democratic) 41.1', 'Jim Campbell (Republican) 40.8', 'Jack Coghill (Alaskan Independence) 13', 'Jim Sykes (Green) 4.1', 'Jack Coghill (Patriot) 0.8', '\n']","Walter Hickel
",R,"Republican
",1,"Retired, Democratic victory
",Alaska,AK,Tony Knowles (Democratic) 41.1,1994
AK_gov_1998,"['Robin Taylor (Write-in) 18.3', 'John Lindauer (Republican) 17.9', 'Ray Metcalfe (Republican Moderate) 6.2', 'Erica Jacobsson (Green) 3.0', '\n']","Tony Knowles
",D,"Democratic
",0,"Re-elected, 51.3%
",Alaska,AK,Robin Taylor (Write-in) 18.3,1998
AK_gov_2002,"['Frank Murkowski (Republican) 55.8', 'Fran Ulmer (Democratic) 40.7', 'Diane Benson (Green) 1.3', 'Don Wright (Alaskan Indep.)Raymond VinZant (Rep. Mod.) 0.7', 'Billy Toien (Libertarian) 0.5', '\n']","Tony Knowles
",D,"Democratic
",0,"Term-limited, Republican victory
",Alaska,AK,Frank Murkowski (Republican) 55.8,2002
AK_gov_2006,"['Sarah Palin (R) 48.3', 'Tony Knowles (D) 40.9', ' Andrew Halcro (I) 9.5', 'Don Wright (AI) 0.5', 'Billy Tolen (L) 0.3', 'David Massie (G) 0.3', '\n']","Frank Murkowski
",R,"Republican
",1,"Lost primary, Republican hold
",Alaska,AK,Sarah Palin (R) 48.3,2006
AK_gov_2010,"['Ethan Berkowitz (D), 38.3', 'Billy Toien (L), 2,682 1.05', '\n']","Sean Parnell
",R,"Republican
",1,"Elected to full term, 58.9%
",Alaska,AK,"Ethan Berkowitz (D), 38.3",2010
AK_gov_2014,['√ Bill Walker (I)[5] Sean Parnell (R)[5] J. R. Myers (Constitution)[6]Carolyn Clift (L)\n'],Sean Parnell,R,Republican,1,Incumbent lost re-election.Independent gain,Alaska,AK,"√ Bill Walker (I)[5] Sean Parnell (R)[5] J. R. Myers (Constitution)[6]Carolyn Clift (L)
",2014
AZ_gov_1978,"['Evan Mecham (Republican) 44.8', 'V. Gene Lewter (Liberatarian) 1.9', 'Jessica Sampson (Socialist Workers) 0.8', '\n']","Bruce Babbitt
",D,"Democratic
",0,"Re-elected, 52.5%
",Arizona,AZ,Evan Mecham (Republican) 44.8,1978
AZ_gov_1982,"['Leo Corbet (Republican) 32.5', 'Sam Steiger (Libertarian) 5.0', '\n']","Bruce Babbitt
",D,"Democratic
",0,"Re-elected, 62.5%
",Arizona,AZ,Leo Corbet (Republican) 32.5,1982
AZ_gov_1986,"['Evan Mecham (Republican) 39.7', 'Carolyn Warner (Democratic) 34.5', 'Bill Schulz (Independent) 25.8', '\n']","Bruce Babbitt
",D,"Democratic
",0,"Retired, Republican victory
",Arizona,AZ,Evan Mecham (Republican) 39.7,1986
AZ_gov_1990,"['Fife Symington III (Republican) 49.65', ' (52', ')Terry Goddard (Democratic) 49.24', ' (48', ')Max Hawkins (Stop Abortion) (WI) 1.04', 'Ed Yetman (Libertarian) (WI) 0.03', '\n']","Rose Perica Mofford
",D,"Democratic
",0,"Retired, Republican victoryin runoff
",Arizona,AZ,Fife Symington III (Republican) 49.65,1990
AZ_gov_1994,"['Eddie Basha (Democratic) 44.3', 'John Buttrick (Libertarian) 3.1', '\n']","Fife Symington
",R,"Republican
",1,"Re-elected, 52.5%
",Arizona,AZ,Eddie Basha (Democratic) 44.3,1994
AZ_gov_1998,"['Paul Johnson (Democratic) 35.5', 'Katherine Gallant (Libertarian) 2.7', 'Scott Malcomson (Reform) 0.8', '\n']","Jane Hull
",R,"Republican
",1,"Re-elected, 61.0%
",Arizona,AZ,Paul Johnson (Democratic) 35.5,1998
AZ_gov_2002,"['Janet Napolitano (Democratic) 46.2', ' Matt Salmon (Republican) 45.2', 'Richard D. Mahoney (Independent) 6.9', ' Barry Hess (Libertarian) 1.7', '\n']","Jane Hull
",R,"Republican
",1,"Term-limited, Democratic victory
",Arizona,AZ,Janet Napolitano (Democratic) 46.2,2002
AZ_gov_2006,"['Janet Napolitano (D) 62.6', 'Len Munsil (R) 35.4', 'Barry Hess (L) 2', '\n']","Janet Napolitano
",D,"Democratic
",0,"Re-elected
",Arizona,AZ,Janet Napolitano (D) 62.6,2006
AZ_gov_2010,"['Terry Goddard (D), 42.2', '\nBarry Hess (L), 38,722 2.24', '\n\n']","Jan Brewer
",R,"Republican
",1,"Elected to full term, 54.7%
",Arizona,AZ,"Terry Goddard (D), 42.2",2010
AZ_gov_2014,['√ Doug Ducey (R) Fred DuVal (D)[5]John Mealer (Americans Elect)[7]Barry Hess (L)[7]\n'],Jan Brewer,R,Republican,1,Incumbent term-limited.Republican hold,Arizona,AZ,"√ Doug Ducey (R) Fred DuVal (D)[5]John Mealer (Americans Elect)[7]Barry Hess (L)[7]
",2014
AR_gov_1976,"['Leon Griffith (Republican) 16.74', '\n']","David Pryor
",D,"Democratic
",0,"Re-elected, 83.24%
",Arkansas,AR,Leon Griffith (Republican) 16.74,1976
AR_gov_1978,"['Bill Clinton (Democratic) 63.4', 'Lynn Lowe (Republican) 36.6', '\n']","David Pryor
",D,"Democratic
",0,"Retired, Democratic victory
",Arkansas,AR,Bill Clinton (Democratic) 63.4,1978
AR_gov_1980,"['Frank D. White (Republican) 51.9', '\n']","Bill Clinton
",D,"Democratic
",0,"Defeated, 48.1%
",Arkansas,AR,Frank D. White (Republican) 51.9,1980
AR_gov_1982,"['Bill Clinton (Democratic) 54.7', '\n']","Frank D. White
",R,"Republican
",1,"Defeated, 45.3%
",Arkansas,AR,Bill Clinton (Democratic) 54.7,1982
AR_gov_1984,"['Elwood A.""Woody"" Freeman (Republican) 37.4', '\n']","Bill Clinton
",D,"Democratic
",0,"Re-elected, 62.5%
",Arkansas,AR,"Elwood A.""Woody"" Freeman (Republican) 37.4",1984
AR_gov_1986,"['Frank D. White (Republican) 36.1', '\n']","Bill Clinton
",D,"Democratic
",0,"Re-elected, 63.9%
",Arkansas,AR,Frank D. White (Republican) 36.1,1986
AR_gov_1990,"['Sheffield Nelson (Republican) 42.5', '\n']","Bill Clinton
",D,"Democratic
",0,"Re-elected, 57.5%
",Arkansas,AR,Sheffield Nelson (Republican) 42.5,1990
AR_gov_1994,"['Sheffield Nelson (Republican) 40.4', '\n']","Jim Tucker
",D,"Democratic
",0,"Re-elected, 59.6%
",Arkansas,AR,Sheffield Nelson (Republican) 40.4,1994
AR_gov_1998,"['Bill Bristow (Democratic) 38.7', 'Keith Carle (Reform) 1.6', '\n']","Mike Huckabee
",R,"Republican
",1,"Re-elected, 59.8%
",Arkansas,AR,Bill Bristow (Democratic) 38.7,1998
AR_gov_2002,"['Jimmie Lou Fisher (Democratic) 46', '\n']","Mike Huckabee
",R,"Republican
",1,"Re-elected, 53%
",Arkansas,AR,Jimmie Lou Fisher (Democratic) 46,2002
AR_gov_2006,"['Mike Beebe (D) 55.3', ' Asa Hutchinson (R) 41.0', ' Rod Bryan (Independent) 2.0', ' Jim Lendall (G) 1.7', '\n']","Mike Huckabee
",R,"Republican
",1,"Term-limited, Democratic gain
",Arkansas,AR,Mike Beebe (D) 55.3,2006
AR_gov_2010,"['Jim Keet (R), 33.6', '\n']","Mike Beebe
",D,"Democratic
",0,"Re-elected, 64.5%
",Arkansas,AR,"Jim Keet (R), 33.6",2010
AR_gov_2014,['√ Asa Hutchinson (R)Mike Ross (D)[5]Josh Drake (Green)[8] Frank Gilbert (L)[9]\n'],Mike Beebe,D,Democratic,0,Incumbent term-limited.Republican gain,Arkansas,AR,"√ Asa Hutchinson (R)Mike Ross (D)[5]Josh Drake (Green)[8] Frank Gilbert (L)[9]
",2014
CA_gov_1978,"['Evelle J. Younger (Republican) 36.5', 'Ed Clark (Independent) 5.5', 'Marilyn Seals (PF) 1.0', 'Theresa F. Dietrich (AI) 1.0', '\n']","Jerry Brown
",D,"Democratic
",0,"Re-elected, 56.0%
",California,CA,Evelle J. Younger (Republican) 36.5,1978
CA_gov_1982,"['George Deukmejian (R) 49.3', 'Tom Bradley (D) 48.1', 'Don P. Dougherty (L) 1.0', 'Elizabeth Martinez (PF) 0.9', 'James C. Griffin (AI) 0.7', '\n']","Jerry Brown
",D,"Democratic
",0,"Retired, Republican victory
",California,CA,George Deukmejian (R) 49.3,1982
CA_gov_1986,"['Tom Bradley (Democratic) 37.2', 'Maria Elizabeth Muñoz (PF) 1.3', 'Joseph Fuhrig (Libertarian) 0.7', 'Gary V. Miller (American Ind.) 0.7', '\n']","George Deukmejian
",R,"Republican
",1,"Re-elected, 60.2%
",California,CA,Tom Bradley (Democratic) 37.2,1986
CA_gov_1990,"['Pete Wilson (Republican) 48.7', 'Dianne Feinstein (Democratic) 46.3', 'Dennis Thompson (Libertarian) 1.9', 'Jerome McCready (American Ind.) 1.8', 'Maria Elizabeth Muñoz (Peace & Freedom) 1.3', '\n']","George Deukmejian
",R,"Republican
",1,"Retired, Republican victory
",California,CA,Pete Wilson (Republican) 48.7,1990
CA_gov_1994,"['Kathleen Brown (Democratic) 40.4', 'Richard Rider (Libertarian) 1.7', 'Jerome McCready (American Ind.) 1.6', 'Gloria La Riva (Peace & Freedom) 0.9', '\n']","Pete Wilson
",R,"Republican
",1,"Re-elected, 55.3%
",California,CA,Kathleen Brown (Democratic) 40.4,1994
CA_gov_1998,"['Gray Davis (Democratic) 58.0', 'Dan Lungren (Republican) 38.4', 'Dan Hamburg (Green) 1.2', 'Steve Kubby (Libertarian) 0.9', 'Gloria La Riva (Peace & Freedom) 0.7', 'Nathan Johnson (American Ind.) 0.5', 'Harold Bloomfield (Natural Law) 0.4', '\n']","Pete Wilson
",R,"Republican
",1,"Term-limited, Democratic victory
",California,CA,Gray Davis (Democratic) 58.0,1998
CA_gov_2002,"['Bill Simon (Republican) 42.4', 'Peter Camejo (Green) 5.3', 'Gary Copeland (Libertarian) 2.2', 'Reinhold Gulke (American Ind.) 1.7', 'Iris Adam (Natural Law) 1.1', '\n']","Gray Davis
",D,"Democratic
",0,"Re-elected, 47.4%
",California,CA,Bill Simon (Republican) 42.4,2002
CA_gov_2003,"['Arnold Schwarzenegger (R) 48.58', 'Cruz Bustamante (D) 31.47', 'Tom McClintock (R) 13.41', 'Peter Camejo (G) 2.8', 'Full List\n']","Gray Davis
",D,"Democratic
",0,"Recalled, 55.4%-44.6%
",California,CA,Arnold Schwarzenegger (R) 48.58,2003
CA_gov_2006,"['Arnold Schwarzenegger (R) 55.9', 'Phil Angelides (D) 39', 'Peter Camejo (G) 2.3', 'Art Olivier (L) 1.3', 'Janice Jordan (PF) 0.8', 'Ed Noonan (AIP) 0.7', '\n']","Arnold Schwarzenegger
",R,"Republican
",1,"Re-elected
",California,CA,Arnold Schwarzenegger (R) 55.9,2006
CA_gov_2010,"['Jerry Brown (D), 53.1', '\nMeg Whitman (R), 41.7', '\nDale Ogden (L), 150,898 1.5', '\n\n']","Arnold Schwarzenegger
",R,"Republican
",1,"Term-limited, Democratic victory
",California,CA,"Jerry Brown (D), 53.1",2010
CA_gov_2014,['√ Jerry Brown (D) Neel Kashkari (R)[10]\n'],Jerry Brown,D,Democratic,0,Re-elected 58.7%,California,CA,"√ Jerry Brown (D) Neel Kashkari (R)[10]
",2014
CO_gov_1978,"['Ted L. Strickland (Republican) 38.5', 'Roy Peister (Tea) 1.7', 'Elsa Blum (Socialist Workers) 0.4', 'Sal Mandor (Independent) 0.3', 'Earl Dodge (Prohibition) 0.3', '\n']","Richard Lamm
",D,"Democratic
",0,"Re-elected, 58.8%
",Colorado,CO,Ted L. Strickland (Republican) 38.5,1978
CO_gov_1982,"['John D. Fuhr (Republican) 31.2', 'Paul K. Grant (Libertarian) 2.0', 'Earl Dodge (Prohibition) 0.4', 'Alan Gummerson (Socialist Workers) 0.3', '\n']","Richard Lamm
",D,"Democratic
",0,"Re-elected, 65.7%
",Colorado,CO,John D. Fuhr (Republican) 31.2,1982
CO_gov_1986,"['Roy Romer (Democratic) 58.2', 'Ted Strickland (Republican) 41.0', 'Earl Dodge (Prohibition) 0.8', '\n']","Richard Lamm
",D,"Democratic
",0,"Retired, Democratic victory
",Colorado,CO,Roy Romer (Democratic) 58.2,1986
CO_gov_1990,"['John Andrews (Republican) 35.4', 'David Aitken (Libertarian) 1.9', 'William David Livingston (Prohibition) 0.8', '\n']","Roy Romer
",D,"Democratic
",0,"Re-elected, 61.9%
",Colorado,CO,John Andrews (Republican) 35.4,1990
CO_gov_1994,"['Bruce Benson (Republican) 38.7', 'Kevin Swanson (Taxpayers) 3.6', ' Philip Hufford (Green) 1.5', 'Earl Dodge (Prohibition) 0.7', '\n']","Roy Romer
",D,"Democratic
",0,"Re-elected, 55.5%
",Colorado,CO,Bruce Benson (Republican) 38.7,1994
CO_gov_1998,"['Bill Owens (Republican) 49.1', 'Gail Schoettler (Democratic) 48.4', 'Sandra Johnson (Libertarian) 1.7', 'Tim Leonard (American Constitution) 0.8', '\n']","Roy Romer
",D,"Democratic
",0,"Term-limited, Republican victory
",Colorado,CO,Bill Owens (Republican) 49.1,1998
CO_gov_2002,"['Rollie Heath (Democratic) 33.7', '  Ronald Forthofer (Green) 2.3', '  Ralph Shnelvar (Libertarian) 1', '\n']","Bill Owens
",R,"Republican
",1,"Re-elected, 62.6%
",Colorado,CO,Rollie Heath (Democratic) 33.7,2002
CO_gov_2006,"['Bill Ritter (D) 57.0', ' Bob Beauprez (R) 40.2', ' Dawn Winkler-Kinateder (L) 1.5', ' Paul Fiorino (I) 0.7', ' Clyde Harkins (C) 0.6', '\n']","Bill Owens
",R,"Republican
",1,"Term-limited, Democratic gain
",Colorado,CO,Bill Ritter (D) 57.0,2006
CO_gov_2010,"['John Hickenlooper (D), 50.7', '\nTom Tancredo (Am.C.), 36.8', '\nDan Maes (R), 11.1', '\nJaimes Brown (L),  0.74', '\n\n']","Bill Ritter
",D,"Democratic
",0,"Retired, Democratic victory
",Colorado,CO,"John Hickenlooper (D), 50.7",2010
CO_gov_2014,['√ John Hickenlooper (D)[11] Bob Beauprez (R)[12] Matthew Hess (L)[13] Mike Dunafon (I)  Paul Fiorino (I)  Jim Rundberg (I)  Harry Hempy (Green)\n'],John Hickenlooper,D,Democratic,0,Re-elected 48.4%,Colorado,CO,"√ John Hickenlooper (D)[11] Bob Beauprez (R)[12] Matthew Hess (L)[13] Mike Dunafon (I)  Paul Fiorino (I)  Jim Rundberg (I)  Harry Hempy (Green)
",2014
CT_gov_1978,"['Ronald A. Sarasin (Republican) 40.7', '\n']","Ella T. Grasso
",D,"Democratic
",0,"Re-elected, 59.1%
",Connecticut,CT,Ronald A. Sarasin (Republican) 40.7,1978
CT_gov_1982,"['Lewis B. Rome (Republican) 46.3', '\n']","William O'Neill
",D,"Democratic
",0,"Re-elected, 53.7%
",Connecticut,CT,Lewis B. Rome (Republican) 46.3,1982
CT_gov_1986,"['Julie Belaga (Republican) 41.5', '\n']","William O'Neill
",D,"Democratic
",0,"Re-elected, 58.5%
",Connecticut,CT,Julie Belaga (Republican) 41.5,1986
CT_gov_1990,"['Lowell Weicker (A Connecticut Party) 40.4', 'John G. Rowland (Republican) 37.5', 'Bruce Morrison (Democratic) 20.7', 'Joseph A. Zdonczyk (Concerned Citizens) 1.4', '\n']","William O'Neill
",D,"Democratic
",0,"Retired, A ConnecticutParty victory
",Connecticut,CT,Lowell Weicker (A Connecticut Party) 40.4,1990
CT_gov_1994,"['John Rowland (Republican) 36.2', 'Bill Curry (Democratic) 32.7', 'Eunice Groark (A Connecticut Party) 18.9', 'Tom Scott (Independence) 11.3', 'Joseph Zdonczyk (Concerned Citizens) 0.9', '\n']","Lowell Weicker
",A,"A Connecticut Party
",0,"Retired, Republican victory
",Connecticut,CT,John Rowland (Republican) 36.2,1994
CT_gov_1998,"['Barbara Kennelly (Democratic) 35.4', 'Joseph Zdoneczyk (Concerned Citizens) 0.9', 'Ned Vare (Libertarian) 0.6', 'Roberta Scaglione (Term Limits) 0.2', '\n']","John Rowland
",R,"Republican
",1,"Re-elected, 62.9%
",Connecticut,CT,Barbara Kennelly (Democratic) 35.4,1998
CT_gov_2002,"['Bill Curry (Democratic) 43.9', '\n']","John Rowland
",R,"Republican
",1,"Re-elected, 56.1%
",Connecticut,CT,Bill Curry (Democratic) 43.9,2002
CT_gov_2006,"['Jodi Rell (R) 63.2', ' John DeStefano (D) 35.5', '  Cliff Thornton (G) 0.9', ' Joseph Zdonczyk (CC) 0.9', '\n']","Jodi Rell
",R,"Republican
",1,"Re-elected
",Connecticut,CT,Jodi Rell (R) 63.2,2006
CT_gov_2010,"['Dan Malloy (D), 49.6', '\nTom Foley (R), 48.9', '\n\n']","Jodi Rell
",R,"Republican
",1,"Retired, Democratic victory
",Connecticut,CT,"Dan Malloy (D), 49.6",2010
CT_gov_2014,['√ Dan Malloy (D) Tom Foley (R)[14] Joe Visconti (I)[14]Lee Whitnum (I)[15]\n'],Dan Malloy,D,Democratic,0,Re-elected 50.9%,Connecticut,CT,"√ Dan Malloy (D) Tom Foley (R)[14] Joe Visconti (I)[14]Lee Whitnum (I)[15]
",2014
DE_gov_1976,"['Pierre S. du Pont IV (Republican) 56.86', '  George Cripps (American) 0.55', '  Harry Connor (Prohibition) 0.13', '\n']","Sherman W. Tribbitt
",D,"Democratic
",0,"Defeated, 42.46%
",Delaware,DE,"Pierre S. du Pont, IV (Republican) 56.86",1976
DE_gov_1980,"['William J. Gordy (Democratic) 28.5', 'Lawrence Levy (Libertarian) 0.8', '\n']","Pierre S. du Pont, IV
",R,"Republican
",1,"Re-elected, 70.7%
",Delaware,DE,William J. Gordy (Democratic) 28.5,1980
DE_gov_1984,"['Michael N. Castle (Republican) 55.0', 'William J. Quillen (Democratic) 45.0', '\n']","Pierre S. du Pont, IV
",R,"Republican
",1,"Term-limited, Republican victory
",Delaware,DE,Michael N. Castle (Republican) 55.0,1984
DE_gov_1988,"['Jacob Kreshtool (Democratic) 29.3', '\n']","Michael N. Castle
",R,"Republican
",1,"Re-elected, 70.7%
",Delaware,DE,Jacob Kreshtool (Democratic) 29.3,1988
DE_gov_1992,"['Tom Carper (Democratic) 65.6', 'Gary Scott (Republican) 33.2', 'Floyd McDowell (A Delaware Party) 1.4', 'Richard Cohen (Libertarian) 1.2', '\n']","Mike Castle
",R,"Republican
",1,"Term-limited, Democratic victory
",Delaware,DE,Tom Carper (Democratic) 65.6,1992
DE_gov_1996,"['Janet Rzewnicki (Republican) 30.5', '\n']","Tom Carper
",D,"Democratic
",0,"Re-elected, 69.5%
",Delaware,DE,Janet Rzewnicki (Republican) 30.5,1996
DE_gov_2000,"['Ruth Ann Minner (Democratic) 59.2', ' John Burris (Republican) 39.7', 'Floyd McDowell (Ind. Delaware) 1.1', '\n']","Tom Carper
",D,"Democratic
",0,"Term-limited, Democratic victory
",Delaware,DE,Ruth Ann Minner (Democratic) 59.2,2000
DE_gov_2004,"['Bill Lee (Republican) 45.8', ' Frank Infante (IPD) 3.4', '\n']","Ruth Ann Minner
",D,"Democratic
",0,"Re-elected, 50.9%
",Delaware,DE,Bill Lee (Republican) 45.8,2004
DE_gov_2008,"['Jack Markell (D) 67.5', 'Bill Lee (R) 32.0', 'Jeffrey Brown (BE) 0.5', '\n']","Ruth Ann Minner
",D,"Democratic
",0,"Term-limited, Democratic hold
",Delaware,DE,Jack Markell (D) 67.5,2008
DE_gov_2012,"['Jeff Cragg (R) 28.6', 'Mark Perri (G) 1.15', 'Jesse McVay (L) 0.92', '\n']","Jack Markell
",D,"Democratic
",0,"Re-elected, 69.3%
",Delaware,DE,Jeff Cragg (R) 28.6,2012
DE_gov_2016,['John Carney (Democratic)[11]Colin Bonini (Republican)[12]Sean Goward (Libertarian)[13]Andrew Groff (Green)\n'],"Jack Markell
",D,"Democratic
",0,"Incumbent term-limited. New governor elected. Democratic Hold.
",Delaware,DE,"John Carney (Democratic)[11]Colin Bonini (Republican)[12]Sean Goward (Libertarian)[13]Andrew Groff (Green)
",2016
FL_gov_1978,"['Bob Graham (Democratic) 55.6', 'Jack Eckerd (Republican) 44.4', '\n']","Reubin O'Donovan Askew
",D,"Democratic
",0,"Term-limited, Democratic victory
",Florida,FL,Bob Graham (Democratic) 55.6,1978
FL_gov_1982,"['Louis A. Bafalis (Republican) 35.3', '\n']","Bob Graham
",D,"Democratic
",0,"Re-elected, 64.7%
",Florida,FL,Louis A. Bafalis (Republican) 35.3,1982
FL_gov_1986,"['Bob Martinez (Republican) 54.6', 'Steve Pajcic (Democratic) 45.4', '\n']","Bob Graham
",D,"Democratic
",0,"Term-limited, Republican victory
",Florida,FL,Bob Martinez (Republican) 54.6,1986
FL_gov_1990,"['Lawton Chiles (Democratic) 56.5', ""Rose 'Jackie' Floyd (Independent) (WI) 0.02"", '\n']","Bob Martinez
",R,"Republican
",1,"Defeated, 43.5%
",Florida,FL,Lawton Chiles (Democratic) 56.5,1990
FL_gov_1994,"['Jeb Bush (Republican) 49.2', '\n']","Lawton Chiles
",D,"Democratic
",0,"Re-elected, 50.7%
",Florida,FL,Jeb Bush (Republican) 49.2,1994
FL_gov_1998,"['Jeb Bush (Republican) 55.3', 'Buddy MacKay (Democratic) 44.7', '\n']","Lawton Chiles
",D,"Democratic
",0,"Term-limited, Republican victory
",Florida,FL,Jeb Bush (Republican) 55.3,1998
FL_gov_2002,"['Bill McBride (Democratic) 43.1', '\n']","Jeb Bush
",R,"Republican
",1,"Re-elected, 56%
",Florida,FL,Bill McBride (Democratic) 43.1,2002
FL_gov_2006,"['Charlie Crist (R) 52.2', ' Jim Davis (D) 45.1', ' Max Linn (Ref) 1.9', ' John Wayne Smith (L) 0.3', ' Richard Paul Dembinsky (I) 0.2', ' Karl Behm (I) 0.2', '\n']","Jeb Bush
",R,"Republican
",1,"Term-limited, Republican hold
",Florida,FL,Charlie Crist (R) 52.2,2006
FL_gov_2010,"['Rick Scott (R), 48.9', '\nAlex Sink (D), 47.7', '\n\n']","Charlie Crist
",I,"Independent
",0,"Retired, Republican victory
",Florida,FL,"Rick Scott (R), 48.9",2010
FL_gov_2014,['√ Rick Scott (R) Charlie Crist (D)[16] Adrian Wyllie (L)[17][18]Joe Allen (No Party Affiliation)Glenn Burkett (No Party Affiliation) Farid Khavari (No Party Affiliation)[19]\n'],Rick Scott,R,Republican,1,Re-elected 48.2%,Florida,FL,"√ Rick Scott (R) Charlie Crist (D)[16] Adrian Wyllie (L)[17][18]Joe Allen (No Party Affiliation)Glenn Burkett (No Party Affiliation) Farid Khavari (No Party Affiliation)[19]
",2014
GA_gov_1978,"['Rodney M. Cook (Republican) 19.3', '\n']","George Busbee
",D,"Democratic
",0,"Re-elected, 80.7%
",Georgia,GA,Rodney M. Cook (Republican) 19.3,1978
GA_gov_1982,"['Joe Frank Harris (Democratic) 62.8', 'Robert H. Bell (Republican) 37.2', '\n']","George Busbee
",D,"Democratic
",0,"Term-limited, Democratic victory
",Georgia,GA,Joe Frank Harris (Democratic) 62.8,1982
GA_gov_1986,"['Guy Davis (Republican) 29.5', '\n']","Joe Frank Harris
",D,"Democratic
",0,"Re-elected, 70.5%
",Georgia,GA,Guy Davis (Republican) 29.5,1986
GA_gov_1990,"['Zell Miller (Democratic) 52.9', 'Johnny Isakson (Republican) 44.5', 'Carole Ann Rand (Libertarian) 2.3', '\n']","Joe Frank Harris
",D,"Democratic
",0,"Term-limited, Democratic victory
",Georgia,GA,Zell Miller (Democratic) 52.9,1990
GA_gov_1994,"['Guy Millner (Republican) 48.95', '\n']","Zell Miller
",D,"Democratic
",0,"Re-elected, 51.05%
",Georgia,GA,Guy Millner (Republican) 48.95,1994
